3,field1,Server Temp
4,field8,Field Label 8
4,field2,Field Label 2
4,field3,Field Label 3
4,field1,utf8 test
4,field6,Field Label 6
4,field7,Field Label 7
4,field5,Field Label 5
4,field4,Field Label 4
9,field2,Outside Temperature
9,field1,Light
10,field1,Humidity
13,field1,Degrees F
14,field1,Temp
21,field8,Btu's
21,field2,HX Out
21,field3,Tank Top
21,field1,HX In
21,field6,Outdoor
21,field7,Gallons Flowed
21,field5,Collector
21,field4,Tank Bottom
53,field2,Sensor 2
53,field3,Sensor 3
53,field1,Sensor 1
53,field4,Status 4
56,field1,Current State
57,field2,Temperatura
57,field1,Humidade
67,field1,Pixel Distance
69,field1,DS1820 Temp (F)
