temperature_in_celsius,Temperature,HP_Sensor_AQ_4,temperature,_humidity,hp_weather,,,,,,
temp,Temperature,Tommy's_Temperatures,Tommy_experimenting_with_a_couple_of_DS18B20_and_a_Raspberry_Pi.,temp,,,,,,,
humidity,Humidity,Keller,DHT22,,,,,,,,
temperature,Temperature,Keller,DHT22,,,,,,,,
price,Price,BitShares_BTS/USD_Price,Settlement_price_of_BTS/USD_market_on_BitShares_Exchange._See_https://bitshares.org/wallet/#/market/BTS_USD,bitshares,bts,,,,,,
snapshot_time,Time,BitShares_BTS/USD_Price,Settlement_price_of_BTS/USD_market_on_BitShares_Exchange._See_https://bitshares.org/wallet/#/market/BTS_USD,bitshares,bts,,,,,,
Temperature,Temperature,Channel_601,testing_channel,,,,,,,,
Temperature,Temperature,ELV_IPWE,ELV_IPWE_Temperature,,,,,,,,
Humidity,Humidity,ELV_IPWE,ELV_IPWE_Temperature,,,,,,,,
Time,Time,ELV_IPWE,ELV_IPWE_Temperature,,,,,,,,
Rain,Rain_Index,ELV_IPWE,ELV_IPWE_Temperature,,,,,,,,
Wind,Wind,ELV_IPWE,ELV_IPWE_Temperature,,,,,,,,
Room temperature,Temperature,Torhav's_hydra,Data_collected_from_my_hydra,,,,,,,,
Tank temperature,Temperature,Torhav's_hydra,Data_collected_from_my_hydra,,,,,,,,
pH,PH,Torhav's_hydra,Data_collected_from_my_hydra,,,,,,,,
Pressure,Pressure,Room_Sensors,,,,,,,,,
Humidity,Humidity,Room_Sensors,,,,,,,,,
Temperature,Temperature,Room_Sensors,,,,,,,,,
Memory Available (mb) ,Memory,Win7StatsTest1,,,,,,,,,
CPU Usage (percent) ,CPU_Usage,Win7StatsTest1,,,,,,,,,
TempC,Temperature,House_Temp,Record_of_the_house_temperatures,,,,,,,,
Temperature,Temperature,House_Temp,Record_of_the_house_temperatures,,,,,,,,
Money,Price,Piggybank,Every_coin_counts_:),Money,,,,,,,
Temp,Temperature,MaxTest01,Just_a_test,,,,,,,,
Light,Brightness,RdiBot,Rdibot,,,,,,,,
Temp,Temperature,RdiBot,Rdibot,,,,,,,,
Time,Time,TechieCooksData,test_data,,,,,,,,
Memory Available (mb),Memory,Linux_Server_Performance_Monitor,Linux_Server_Performance_Monitor,,,,,,,,
CPU Usage %,CPU_Usage,Linux_Server_Performance_Monitor,Linux_Server_Performance_Monitor,,,,,,,,
Temperature,Temperature,Rick_Office,Rick's_Office_data,office,temperature,status,,,,,
Humidity %,Humidity,TNUA_FBI_LAB,,sht15,Arduino,temp,humidity,ethernet_shield,,,
Temperature C,Temperature,TNUA_FBI_LAB,,sht15,Arduino,temp,humidity,ethernet_shield,,,
Utility Power Down,Power,Power_and_Sump_Monitor,Monitors_for_utility_power_outages_and_high_water_level_in_sump,,,,,,,,
Temperature,Temperature,Power_and_Sump_Monitor,Monitors_for_utility_power_outages_and_high_water_level_in_sump,,,,,,,,
current1,Current,Solar_System_Power_Status,Shows_the_voltage_and_current_input/output_of_a_solar_powered_weather_station,,,,,,,,
current2,Current,Solar_System_Power_Status,Shows_the_voltage_and_current_input/output_of_a_solar_powered_weather_station,,,,,,,,
voltage1,Voltage,Solar_System_Power_Status,Shows_the_voltage_and_current_input/output_of_a_solar_powered_weather_station,,,,,,,,
voltage2,Voltage,Solar_System_Power_Status,Shows_the_voltage_and_current_input/output_of_a_solar_powered_weather_station,,,,,,,,
gas,Gas_Level,Smart_Meter_values,Reading_out_my_smart_meter_values,home,,,,,,,
humidity,Humidity,Photon_Redboard_Environment_Logger,Logging_temperature,_relative_humidity,_and_light_sensor_readings_to_Phant._Using_a_Photon_Redboard_to_gather_data_and_post.,,,,,,
light,Brightness,Photon_Redboard_Environment_Logger,Logging_temperature,_relative_humidity,_and_light_sensor_readings_to_Phant._Using_a_Photon_Redboard_to_gather_data_and_post.,,,,,,
tempc,Temperature,Photon_Redboard_Environment_Logger,Logging_temperature,_relative_humidity,_and_light_sensor_readings_to_Phant._Using_a_Photon_Redboard_to_gather_data_and_post.,,,,,,
tempf,Temperature,Photon_Redboard_Environment_Logger,Logging_temperature,_relative_humidity,_and_light_sensor_readings_to_Phant._Using_a_Photon_Redboard_to_gather_data_and_post.,,,,,,
rawtemp,Temperature,OneWire_Temperatures,Temperatures_read_and_published_from_a_chain_of_OneWire_Temperature_Sensors.,onewire,particleio,photon,testing,,,,
airtemp,Temperature,Homestead_Stream_Gauge,A_multi-parameter_stream_gauge_on_Tuttle_Creek_at_the_Homestead_School,conductivity,depth,environmental,gauge,stream,temperature,turbidity,water
humidity,Humidity,Homestead_Stream_Gauge,A_multi-parameter_stream_gauge_on_Tuttle_Creek_at_the_Homestead_School,conductivity,depth,environmental,gauge,stream,temperature,turbidity,water
light,Brightness,Homestead_Stream_Gauge,A_multi-parameter_stream_gauge_on_Tuttle_Creek_at_the_Homestead_School,conductivity,depth,environmental,gauge,stream,temperature,turbidity,water
pressure,Pressure,Homestead_Stream_Gauge,A_multi-parameter_stream_gauge_on_Tuttle_Creek_at_the_Homestead_School,conductivity,depth,environmental,gauge,stream,temperature,turbidity,water
rain,Rain_Index,Homestead_Stream_Gauge,A_multi-parameter_stream_gauge_on_Tuttle_Creek_at_the_Homestead_School,conductivity,depth,environmental,gauge,stream,temperature,turbidity,water
streamtemp,Temperature,Homestead_Stream_Gauge,A_multi-parameter_stream_gauge_on_Tuttle_Creek_at_the_Homestead_School,conductivity,depth,environmental,gauge,stream,temperature,turbidity,water
vbatt,Battery_Level,Homestead_Stream_Gauge,A_multi-parameter_stream_gauge_on_Tuttle_Creek_at_the_Homestead_School,conductivity,depth,environmental,gauge,stream,temperature,turbidity,water
winddir,Wind,Homestead_Stream_Gauge,A_multi-parameter_stream_gauge_on_Tuttle_Creek_at_the_Homestead_School,conductivity,depth,environmental,gauge,stream,temperature,turbidity,water
windspeed,Speed,Homestead_Stream_Gauge,A_multi-parameter_stream_gauge_on_Tuttle_Creek_at_the_Homestead_School,conductivity,depth,environmental,gauge,stream,temperature,turbidity,water
degrees,Temperature,56R_Data,BME280_chip_collecting_Temp/Barometric_pressure.,temperature,,,,,,,
hectopascals,Pressure,56R_Data,BME280_chip_collecting_Temp/Barometric_pressure.,temperature,,,,,,,
humidity,Humidity,56R_Data,BME280_chip_collecting_Temp/Barometric_pressure.,temperature,,,,,,,
humidity,Humidity,Maemoh_Mine_Slope_Monitoring_No.1,This_project_for_record_land_mover,_land_slide._Mailto:sridetch.p@egat.co.th,bigtui,maemoh,mine,monitoring,sheer,slope,sridetch
temperature,Temperature,Maemoh_Mine_Slope_Monitoring_No.1,This_project_for_record_land_mover,_land_slide._Mailto:sridetch.p@egat.co.th,bigtui,maemoh,mine,monitoring,sheer,slope,sridetch
a_pressure,Pressure,New_Jersey_Autoclave_Data_Stream,A_stream_of_autoclave_data.,,,,,,,,
a_temperature,Temperature,New_Jersey_Autoclave_Data_Stream,A_stream_of_autoclave_data.,,,,,,,,
pulse_electric,Voltage,New_Jersey_Autoclave_Data_Stream,A_stream_of_autoclave_data.,,,,,,,,
ctwatts,Power,Solar_at_Heidelberg,local_watts_=_0_local_vpv1_=_0_local_vpv2_=_0__local_temp_=_0_local_ctwatts_=_0_local_meterwatts_=_0,,,,,,,,
meterwatts,Power,Solar_at_Heidelberg,local_watts_=_0_local_vpv1_=_0_local_vpv2_=_0__local_temp_=_0_local_ctwatts_=_0_local_meterwatts_=_0,,,,,,,,
